issue,modality,algorithm,arm,episodes,successes,success_rate,invalid_operations,decisions,model_call_allowance,budget_usage,invalid_operation_rate,termination_counts
75,visual-state,bfs,exact_reference,15,15,1.0,0,292,584,0.5,0.0,"{""goal_reached"": 15}"
75,visual-state,bfs,random_valid,75,53,0.7066666666666667,0,1398,2920,0.47876712328767124,0.0,"{""expansion_budget_exhausted"": 22, ""goal_reached"": 53}"
75,visual-state,bfs,pretrained_base,75,0,0.0,75,75,2920,0.025684931506849314,1.0,"{""deterministic_invalid_operation"": 75}"
75,visual-state,bfs,process_sft,75,75,1.0,0,1460,2920,0.5,0.0,"{""goal_reached"": 75}"
75,visual-state,best_first_width,exact_reference,15,15,1.0,0,2269,4538,0.5,0.0,"{""goal_reached"": 15}"
75,visual-state,best_first_width,random_valid,75,39,0.52,0,10944,22690,0.4823270163067431,0.0,"{""expansion_budget_exhausted"": 36, ""goal_reached"": 39}"
75,visual-state,best_first_width,pretrained_base,75,0,0.0,75,75,22690,0.0033054208902600266,1.0,"{""deterministic_invalid_operation"": 75}"
75,visual-state,best_first_width,process_sft,75,50,0.6666666666666666,25,5645,22690,0.24878801234023798,0.0044286979627989375,"{""deterministic_invalid_operation"": 25, ""goal_reached"": 50}"
75,visual-state,best_first_add_w3,exact_reference,12,12,1.0,0,1143,2286,0.5,0.0,"{""goal_reached"": 12}"
75,visual-state,best_first_add_w3,random_valid,60,60,1.0,0,5715,11430,0.5,0.0,"{""goal_reached"": 60}"
75,visual-state,best_first_add_w3,pretrained_base,60,0,0.0,60,60,11430,0.005249343832020997,1.0,"{""deterministic_invalid_operation"": 60}"
75,visual-state,best_first_add_w3,process_sft,60,60,1.0,0,5715,11430,0.5,0.0,"{""goal_reached"": 60}"
75,visual-state,best_first_add_greedy,exact_reference,12,12,1.0,0,1184,2368,0.5,0.0,"{""goal_reached"": 12}"
75,visual-state,best_first_add_greedy,random_valid,60,60,1.0,0,5920,11840,0.5,0.0,"{""goal_reached"": 60}"
75,visual-state,best_first_add_greedy,pretrained_base,60,0,0.0,60,60,11840,0.005067567567567568,1.0,"{""deterministic_invalid_operation"": 60}"
75,visual-state,best_first_add_greedy,process_sft,60,60,1.0,0,5920,11840,0.5,0.0,"{""goal_reached"": 60}"
76,multimodal-state,bfs,exact_reference,3,3,1.0,0,32,64,0.5,0.0,"{""goal_reached"": 3}"
76,multimodal-state,bfs,random_valid,3,1,0.3333333333333333,0,32,64,0.5,0.0,"{""expansion_budget_exhausted"": 2, ""goal_reached"": 1}"
76,multimodal-state,bfs,pretrained_base,3,0,0.0,3,3,64,0.046875,1.0,"{""deterministic_invalid_operation"": 3}"
76,multimodal-state,bfs,process_sft,3,0,0.0,3,7,64,0.109375,0.42857142857142855,"{""deterministic_invalid_operation"": 3}"
76,multimodal-state,best_first_width,exact_reference,3,3,1.0,0,27,54,0.5,0.0,"{""goal_reached"": 3}"
76,multimodal-state,best_first_width,random_valid,3,2,0.6666666666666666,0,28,54,0.5185185185185185,0.0,"{""expansion_budget_exhausted"": 1, ""goal_reached"": 2}"
76,multimodal-state,best_first_width,pretrained_base,3,0,0.0,3,3,54,0.05555555555555555,1.0,"{""deterministic_invalid_operation"": 3}"
76,multimodal-state,best_first_width,process_sft,3,0,0.0,3,3,54,0.05555555555555555,1.0,"{""deterministic_invalid_operation"": 3}"
76,multimodal-state,best_first_add_w3,exact_reference,3,3,1.0,0,27,54,0.5,0.0,"{""goal_reached"": 3}"
76,multimodal-state,best_first_add_w3,random_valid,3,3,1.0,0,27,54,0.5,0.0,"{""goal_reached"": 3}"
76,multimodal-state,best_first_add_w3,pretrained_base,3,0,0.0,3,3,54,0.05555555555555555,1.0,"{""deterministic_invalid_operation"": 3}"
76,multimodal-state,best_first_add_w3,process_sft,3,1,0.3333333333333333,2,11,54,0.2037037037037037,0.18181818181818182,"{""deterministic_invalid_operation"": 2, ""goal_reached"": 1}"
76,multimodal-state,best_first_add_greedy,exact_reference,3,3,1.0,0,27,54,0.5,0.0,"{""goal_reached"": 3}"
76,multimodal-state,best_first_add_greedy,random_valid,3,3,1.0,0,27,54,0.5,0.0,"{""goal_reached"": 3}"
76,multimodal-state,best_first_add_greedy,pretrained_base,3,0,0.0,3,3,54,0.05555555555555555,1.0,"{""deterministic_invalid_operation"": 3}"
76,multimodal-state,best_first_add_greedy,process_sft,3,1,0.3333333333333333,2,10,54,0.18518518518518517,0.2,"{""deterministic_invalid_operation"": 2, ""goal_reached"": 1}"
