arm_class,frontier_size_bucket,branching_factor_bucket,failures
base,0,0-1,3
base,0,2-3,216
base,0,4-6,78
base,0,7-12,6
base,1-2,2-3,102
base,1-2,4-6,42
learned,0,0-1,1
learned,0,2-3,1
learned,0,4-6,1
learned,1-2,0-1,9
learned,1-2,2-3,222
learned,1-2,4-6,87
learned,11+,2-3,1
learned,11+,4-6,3
learned,3-5,0-1,3
learned,3-5,2-3,49
learned,3-5,4-6,16
learned,3-5,7-12,1
learned,6-10,0-1,1
learned,6-10,2-3,8
learned,6-10,4-6,4
oracle_control,1-2,2-3,6
oracle_control,11+,0-1,3
oracle_control,11+,2-3,21
oracle_control,11+,4-6,3
oracle_control,3-5,2-3,3
oracle_control,6-10,2-3,9
oracle_control,6-10,4-6,6
