branch,panel,modality,arm,arm_class,episodes,failures,descriptive_only
curriculum_modality,development,multimodal-state,exact_reference,reference,3,0,True
curriculum_modality,development,multimodal-state,multimodal-state__mixed_order,learned,3,0,True
curriculum_modality,development,multimodal-state,multimodal-state__shuffled,learned,3,0,True
curriculum_modality,development,multimodal-state,multimodal-state__staged,learned,3,0,True
curriculum_modality,development,multimodal-state,pretrained_base,base,3,3,True
curriculum_modality,development,multimodal-state,process_sft,learned,3,0,True
curriculum_modality,development,multimodal-state,random_valid,oracle_control,3,0,True
curriculum_modality,development,text-state,exact_reference,reference,3,0,True
curriculum_modality,development,text-state,pretrained_base,base,3,3,True
curriculum_modality,development,text-state,process_sft,learned,3,1,True
curriculum_modality,development,text-state,random_valid,oracle_control,3,0,True
curriculum_modality,development,text-state,text-state__mixed_order,learned,3,0,True
curriculum_modality,development,text-state,text-state__shuffled,learned,3,0,True
curriculum_modality,development,text-state,text-state__staged,learned,3,1,True
curriculum_modality,development,visual-state,exact_reference,reference,3,0,True
curriculum_modality,development,visual-state,pretrained_base,base,3,3,True
curriculum_modality,development,visual-state,process_sft,learned,3,0,True
curriculum_modality,development,visual-state,random_valid,oracle_control,3,0,True
curriculum_modality,development,visual-state,visual-state__mixed_order,learned,3,0,True
curriculum_modality,development,visual-state,visual-state__shuffled,learned,3,0,True
curriculum_modality,development,visual-state,visual-state__staged,learned,3,0,True
curriculum_modality,unseen,multimodal-state,exact_reference,reference,24,0,False
curriculum_modality,unseen,multimodal-state,multimodal-state__mixed_order,learned,24,0,False
curriculum_modality,unseen,multimodal-state,multimodal-state__shuffled,learned,24,0,False
curriculum_modality,unseen,multimodal-state,multimodal-state__staged,learned,24,2,False
curriculum_modality,unseen,multimodal-state,pretrained_base,base,24,24,False
curriculum_modality,unseen,multimodal-state,process_sft,learned,24,3,False
curriculum_modality,unseen,multimodal-state,random_valid,oracle_control,24,0,False
curriculum_modality,unseen,text-state,exact_reference,reference,24,0,False
curriculum_modality,unseen,text-state,pretrained_base,base,24,24,False
curriculum_modality,unseen,text-state,process_sft,learned,24,2,False
curriculum_modality,unseen,text-state,random_valid,oracle_control,24,0,False
curriculum_modality,unseen,text-state,text-state__mixed_order,learned,24,2,False
curriculum_modality,unseen,text-state,text-state__shuffled,learned,24,3,False
curriculum_modality,unseen,text-state,text-state__staged,learned,24,2,False
curriculum_modality,unseen,visual-state,exact_reference,reference,24,0,False
curriculum_modality,unseen,visual-state,pretrained_base,base,24,24,False
curriculum_modality,unseen,visual-state,process_sft,learned,24,2,False
curriculum_modality,unseen,visual-state,random_valid,oracle_control,24,0,False
