algorithm_family,modality,arm,arm_class,failure_kind,failures,stratum_episodes,descriptive_only
best_first_add_greedy,multimodal-state,learned_adapter,learned,inapplicable_grounded_action,4,25,False
best_first_add_greedy,multimodal-state,multimodal-state__staged,learned,inapplicable_grounded_action,2,27,False
best_first_add_greedy,multimodal-state,pretrained_base,base,malformed_output,52,52,False
best_first_add_greedy,multimodal-state,process_sft,learned,inapplicable_grounded_action,3,27,False
best_first_add_greedy,text-state,learned_adapter,learned,inapplicable_grounded_action,3,25,False
best_first_add_greedy,text-state,pretrained_base,base,malformed_output,52,52,False
best_first_add_greedy,text-state,process_sft,learned,inapplicable_grounded_action,3,27,False
best_first_add_greedy,text-state,text-state__mixed_order,learned,inapplicable_grounded_action,2,27,False
best_first_add_greedy,text-state,text-state__shuffled,learned,inapplicable_grounded_action,3,27,False
best_first_add_greedy,text-state,text-state__staged,learned,inapplicable_grounded_action,3,27,False
best_first_add_greedy,visual-state,learned_adapter,learned,inapplicable_grounded_action,1,25,False
best_first_add_greedy,visual-state,pretrained_base,base,malformed_output,52,52,False
best_first_add_greedy,visual-state,process_sft,learned,inapplicable_grounded_action,2,27,False
best_first_add_greedy,visual-state,visual-state__mixed_order,learned,inapplicable_grounded_action,1,27,False
best_first_add_greedy,visual-state,visual-state__staged,learned,inapplicable_grounded_action,3,27,False
best_first_add_w3,multimodal-state,learned_adapter,learned,inapplicable_grounded_action,3,25,False
best_first_add_w3,multimodal-state,pretrained_base,base,malformed_output,49,49,False
best_first_add_w3,multimodal-state,process_sft,learned,inapplicable_grounded_action,2,24,False
best_first_add_w3,text-state,learned_adapter,learned,inapplicable_grounded_action,3,25,False
best_first_add_w3,text-state,pretrained_base,base,malformed_output,49,49,False
best_first_add_w3,text-state,process_sft,learned,inapplicable_grounded_action,4,24,False
best_first_add_w3,visual-state,learned_adapter,learned,inapplicable_grounded_action,8,25,False
best_first_add_w3,visual-state,pretrained_base,base,malformed_output,49,49,False
best_first_add_w3,visual-state,process_sft,learned,inapplicable_grounded_action,6,24,False
best_first_width,multimodal-state,pretrained_base,base,malformed_output,24,24,False
best_first_width,multimodal-state,process_sft,learned,malformed_output,24,24,False
best_first_width,multimodal-state,random_valid,oracle_control,expansion_budget_exhausted,7,24,False
best_first_width,text-state,pretrained_base,base,malformed_output,24,24,False
best_first_width,text-state,process_sft,learned,malformed_output,24,24,False
best_first_width,text-state,random_valid,oracle_control,expansion_budget_exhausted,7,24,False
best_first_width,visual-state,pretrained_base,base,malformed_output,24,24,False
best_first_width,visual-state,process_sft,learned,malformed_output,24,24,False
best_first_width,visual-state,random_valid,oracle_control,expansion_budget_exhausted,7,24,False
bfs,multimodal-state,continued_sft_iteration_2,learned,other_invariant_violation,26,27,False
bfs,multimodal-state,dagger_iteration_2,learned,other_invariant_violation,24,27,False
bfs,multimodal-state,model_generated_successor,learned,effect,8,15,False
bfs,multimodal-state,model_generated_successor,learned,schema,5,15,False
bfs,multimodal-state,model_generated_successor,learned,static_context,1,15,False
bfs,multimodal-state,pretrained_base,base,invalid_frontier_operation,20,24,False
bfs,multimodal-state,pretrained_base,base,malformed_output,3,24,False
bfs,multimodal-state,pretrained_base,base,other_invariant_violation,1,24,False
bfs,multimodal-state,process_sft,learned,invalid_frontier_operation,1,27,False
bfs,multimodal-state,process_sft,learned,other_invariant_violation,26,27,False
bfs,multimodal-state,random_valid,oracle_control,expansion_budget_exhausted,10,27,False
bfs,text-state,continued_sft_iteration_2,learned,other_invariant_violation,26,27,False
bfs,text-state,dagger_iteration_2,learned,other_invariant_violation,27,27,False
bfs,text-state,model_generated_successor,learned,effect,12,15,False
bfs,text-state,model_generated_successor,learned,schema,3,15,False
bfs,text-state,pretrained_base,base,invalid_frontier_operation,24,24,False
bfs,text-state,process_sft,learned,invalid_frontier_operation,1,27,False
bfs,text-state,process_sft,learned,other_invariant_violation,26,27,False
bfs,text-state,random_valid,oracle_control,expansion_budget_exhausted,10,27,False
bfs,visual-state,continued_sft_iteration_2,learned,invalid_frontier_operation,1,27,False
bfs,visual-state,continued_sft_iteration_2,learned,other_invariant_violation,25,27,False
bfs,visual-state,dagger_iteration_2,learned,other_invariant_violation,25,27,False
bfs,visual-state,dagger_iteration_2,learned,source_state_mismatch,1,27,False
bfs,visual-state,model_generated_successor,learned,effect,7,15,False
bfs,visual-state,model_generated_successor,learned,schema,8,15,False
bfs,visual-state,pretrained_base,base,invalid_frontier_operation,23,24,False
bfs,visual-state,pretrained_base,base,malformed_output,1,24,False
bfs,visual-state,process_sft,learned,invalid_frontier_operation,2,27,False
bfs,visual-state,process_sft,learned,other_invariant_violation,24,27,False
bfs,visual-state,random_valid,oracle_control,expansion_budget_exhausted,10,27,False
