arm_class,algorithm_family,horizon_bucket,failures
base,best_first_add_greedy,0,156
base,best_first_add_w3,0,147
base,best_first_width,0,72
base,bfs,0,72
learned,best_first_add_greedy,0,2
learned,best_first_add_greedy,1,8
learned,best_first_add_greedy,17-32,2
learned,best_first_add_greedy,2,4
learned,best_first_add_greedy,3-4,4
learned,best_first_add_greedy,33+,1
learned,best_first_add_greedy,5-8,4
learned,best_first_add_greedy,9-16,5
learned,best_first_add_w3,1,12
learned,best_first_add_w3,17-32,1
learned,best_first_add_w3,2,5
learned,best_first_add_w3,3-4,5
learned,best_first_add_w3,33+,2
learned,best_first_add_w3,5-8,1
learned,best_first_width,0,72
learned,bfs,0,63
learned,bfs,1,68
learned,bfs,2,37
learned,bfs,3-4,78
learned,bfs,33+,1
learned,bfs,5-8,22
learned,bfs,9-16,10
oracle_control,best_first_width,17-32,3
oracle_control,best_first_width,33+,3
oracle_control,best_first_width,5-8,6
oracle_control,best_first_width,9-16,9
oracle_control,bfs,33+,27
oracle_control,bfs,5-8,3
