arm_class,algorithm_family,failures_with_reference,horizon_ratio_mean,horizon_ratio_median,horizon_ratio_min,horizon_ratio_max
base,best_first_add_greedy,156,0.0,0.0,0.0,0.0
base,best_first_add_w3,147,0.0,0.0,0.0,0.0
base,best_first_width,72,0.0,0.0,0.0,0.0
base,bfs,72,0.0,0.0,0.0,0.0
learned,best_first_add_greedy,30,0.24323413129736543,0.15831842576028624,0.0,0.9411764705882353
learned,best_first_add_w3,26,0.19839843991394548,0.09823576583801122,0.01020408163265306,0.6666666666666666
learned,best_first_width,72,0.0,0.0,0.0,0.0
learned,bfs,279,0.09719888991722661,0.030612244897959183,0.0,0.75
oracle_control,best_first_width,21,0.9710748401924872,0.9846153846153847,0.875,1.0555555555555556
oracle_control,bfs,30,0.992683559826417,0.99375,0.9285714285714286,1.04
