arm_class,operation_type,failures
base,frontier:retire_frontier,67
base,move,1
learned,board,24
learned,debark,4
learned,disembark-truck,1
learned,down,9
learned,drive,19
learned,drive-truck,12
learned,drop,13
learned,fly-airplane,9
learned,frontier:retire_frontier,5
learned,go-in,3
learned,go-out,7
learned,lift,18
learned,load-airplane,2
learned,load-truck,17
learned,move,111
learned,pick,7
learned,pickup,9
learned,putdown,6
learned,sail,19
learned,stack,10
learned,unload-truck,1
learned,unstack,8
learned,up,5
learned,walk,16
