stratum_scope,branch,panel,algorithm_family,modality,arm,failure_kind,failures,stratum_episodes
branch x panel x modality x arm,curriculum_modality,development,,multimodal-state,exact_reference,,0,3
branch x panel x modality x arm,curriculum_modality,development,,multimodal-state,multimodal-state__mixed_order,,0,3
branch x panel x modality x arm,curriculum_modality,development,,multimodal-state,multimodal-state__shuffled,,0,3
branch x panel x modality x arm,curriculum_modality,development,,multimodal-state,multimodal-state__staged,,0,3
branch x panel x modality x arm,curriculum_modality,development,,multimodal-state,pretrained_base,,3,3
branch x panel x modality x arm,curriculum_modality,development,,multimodal-state,process_sft,,0,3
branch x panel x modality x arm,curriculum_modality,development,,multimodal-state,random_valid,,0,3
branch x panel x modality x arm,curriculum_modality,development,,text-state,exact_reference,,0,3
branch x panel x modality x arm,curriculum_modality,development,,text-state,pretrained_base,,3,3
branch x panel x modality x arm,curriculum_modality,development,,text-state,process_sft,,1,3
branch x panel x modality x arm,curriculum_modality,development,,text-state,random_valid,,0,3
branch x panel x modality x arm,curriculum_modality,development,,text-state,text-state__mixed_order,,0,3
branch x panel x modality x arm,curriculum_modality,development,,text-state,text-state__shuffled,,0,3
branch x panel x modality x arm,curriculum_modality,development,,text-state,text-state__staged,,1,3
branch x panel x modality x arm,curriculum_modality,development,,visual-state,exact_reference,,0,3
branch x panel x modality x arm,curriculum_modality,development,,visual-state,pretrained_base,,3,3
branch x panel x modality x arm,curriculum_modality,development,,visual-state,process_sft,,0,3
branch x panel x modality x arm,curriculum_modality,development,,visual-state,random_valid,,0,3
branch x panel x modality x arm,curriculum_modality,development,,visual-state,visual-state__mixed_order,,0,3
branch x panel x modality x arm,curriculum_modality,development,,visual-state,visual-state__shuffled,,0,3
branch x panel x modality x arm,curriculum_modality,development,,visual-state,visual-state__staged,,0,3
branch x panel x modality x arm,dagger,development,,multimodal-state,continued_sft_iteration_2,,2,3
branch x panel x modality x arm,dagger,development,,multimodal-state,dagger_iteration_2,,1,3
branch x panel x modality x arm,dagger,development,,multimodal-state,exact_reference,,0,3
branch x panel x modality x arm,dagger,development,,multimodal-state,process_sft,,3,3
branch x panel x modality x arm,dagger,development,,multimodal-state,random_valid,,1,3
branch x panel x modality x arm,dagger,development,,text-state,continued_sft_iteration_2,,2,3
branch x panel x modality x arm,dagger,development,,text-state,dagger_iteration_2,,3,3
branch x panel x modality x arm,dagger,development,,text-state,exact_reference,,0,3
branch x panel x modality x arm,dagger,development,,text-state,process_sft,,3,3
branch x panel x modality x arm,dagger,development,,text-state,random_valid,,1,3
branch x panel x modality x arm,dagger,development,,visual-state,continued_sft_iteration_2,,3,3
branch x panel x modality x arm,dagger,development,,visual-state,dagger_iteration_2,,2,3
branch x panel x modality x arm,dagger,development,,visual-state,exact_reference,,0,3
branch x panel x modality x arm,dagger,development,,visual-state,process_sft,,2,3
branch x panel x modality x arm,dagger,development,,visual-state,random_valid,,1,3
branch x panel x modality x arm,successor_prediction,development,,multimodal-state,model_generated_successor,,3,3
branch x panel x modality x arm,successor_prediction,development,,multimodal-state,trusted_successor,,0,3
branch x panel x modality x arm,successor_prediction,development,,text-state,model_generated_successor,,3,3
branch x panel x modality x arm,successor_prediction,development,,text-state,trusted_successor,,0,3
branch x panel x modality x arm,successor_prediction,development,,visual-state,model_generated_successor,,3,3
branch x panel x modality x arm,successor_prediction,development,,visual-state,trusted_successor,,0,3
