modality,algorithm,contrast,left,right,difference,lower,upper,wins,losses,ties,problems
multimodal-state,best_first_add_greedy,process_sft_minus_pretrained_base,process_sft,pretrained_base,0.875,0.7083333333333334,1.0,21,0,3,24
multimodal-state,best_first_add_greedy,process_sft_minus_random_valid,process_sft,random_valid,-0.125,-0.2916666666666667,0.0,0,3,21,24
multimodal-state,best_first_add_greedy,process_sft_minus_exact_reference,process_sft,exact_reference,-0.125,-0.2916666666666667,0.0,0,3,21,24
multimodal-state,best_first_add_greedy,random_valid_minus_exact_reference,random_valid,exact_reference,0.0,0.0,0.0,0,0,24,24
multimodal-state,best_first_add_w3,process_sft_minus_pretrained_base,process_sft,pretrained_base,0.9166666666666666,0.7916666666666666,1.0,22,0,2,24
multimodal-state,best_first_add_w3,process_sft_minus_random_valid,process_sft,random_valid,-0.08333333333333333,-0.20833333333333334,0.0,0,2,22,24
multimodal-state,best_first_add_w3,process_sft_minus_exact_reference,process_sft,exact_reference,-0.08333333333333333,-0.20833333333333334,0.0,0,2,22,24
multimodal-state,best_first_add_w3,random_valid_minus_exact_reference,random_valid,exact_reference,0.0,0.0,0.0,0,0,24,24
multimodal-state,best_first_width,process_sft_minus_pretrained_base,process_sft,pretrained_base,0.0,0.0,0.0,0,0,24,24
multimodal-state,best_first_width,process_sft_minus_random_valid,process_sft,random_valid,-0.7083333333333334,-0.875,-0.5,0,17,7,24
multimodal-state,best_first_width,process_sft_minus_exact_reference,process_sft,exact_reference,-1.0,-1.0,-1.0,0,24,0,24
multimodal-state,best_first_width,random_valid_minus_exact_reference,random_valid,exact_reference,-0.2916666666666667,-0.5,-0.125,0,7,17,24
multimodal-state,bfs,process_sft_minus_pretrained_base,process_sft,pretrained_base,0.0,0.0,0.0,0,0,24,24
multimodal-state,bfs,process_sft_minus_random_valid,process_sft,random_valid,-0.625,-0.7916666666666666,-0.4166666666666667,0,15,9,24
multimodal-state,bfs,process_sft_minus_exact_reference,process_sft,exact_reference,-1.0,-1.0,-1.0,0,24,0,24
multimodal-state,bfs,random_valid_minus_exact_reference,random_valid,exact_reference,-0.375,-0.5833333333333334,-0.20833333333333334,0,9,15,24
text-state,best_first_add_greedy,process_sft_minus_pretrained_base,process_sft,pretrained_base,0.9166666666666666,0.7916666666666666,1.0,22,0,2,24
text-state,best_first_add_greedy,process_sft_minus_random_valid,process_sft,random_valid,-0.08333333333333333,-0.20833333333333334,0.0,0,2,22,24
text-state,best_first_add_greedy,process_sft_minus_exact_reference,process_sft,exact_reference,-0.08333333333333333,-0.20833333333333334,0.0,0,2,22,24
text-state,best_first_add_greedy,random_valid_minus_exact_reference,random_valid,exact_reference,0.0,0.0,0.0,0,0,24,24
text-state,best_first_add_w3,process_sft_minus_pretrained_base,process_sft,pretrained_base,0.8333333333333334,0.6666666666666666,0.9583333333333334,20,0,4,24
