task_id,modality,algorithm,control,success_difference,invalid_operation_difference,decision_difference,expansion_difference
expanded-final/15puzzle-compact-910000,multimodal-state,best_first_add_greedy,pretrained_base,1,-1,11,4
expanded-final/15puzzle-compact-910000,multimodal-state,best_first_add_greedy,random_valid,0,0,0,0
expanded-final/15puzzle-compact-910000,multimodal-state,best_first_add_greedy,exact_reference,0,0,0,0
expanded-final/15puzzle-compact-910000,multimodal-state,best_first_add_w3,pretrained_base,1,-1,11,4
expanded-final/15puzzle-compact-910000,multimodal-state,best_first_add_w3,random_valid,0,0,0,0
expanded-final/15puzzle-compact-910000,multimodal-state,best_first_add_w3,exact_reference,0,0,0,0
expanded-final/15puzzle-compact-910000,multimodal-state,best_first_width,pretrained_base,0,0,0,0
expanded-final/15puzzle-compact-910000,multimodal-state,best_first_width,random_valid,-1,1,-8,-4
expanded-final/15puzzle-compact-910000,multimodal-state,best_first_width,exact_reference,-1,1,-8,-4
expanded-final/15puzzle-compact-910000,multimodal-state,bfs,pretrained_base,0,0,1,0
expanded-final/15puzzle-compact-910000,multimodal-state,bfs,random_valid,0,1,-31,-18
expanded-final/15puzzle-compact-910000,multimodal-state,bfs,exact_reference,-1,1,-31,-18
expanded-final/15puzzle-compact-910000,text-state,best_first_add_greedy,pretrained_base,1,-1,11,4
expanded-final/15puzzle-compact-910000,text-state,best_first_add_greedy,random_valid,0,0,0,0
expanded-final/15puzzle-compact-910000,text-state,best_first_add_greedy,exact_reference,0,0,0,0
expanded-final/15puzzle-compact-910000,text-state,best_first_add_w3,pretrained_base,1,-1,11,4
expanded-final/15puzzle-compact-910000,text-state,best_first_add_w3,random_valid,0,0,0,0
expanded-final/15puzzle-compact-910000,text-state,best_first_add_w3,exact_reference,0,0,0,0
expanded-final/15puzzle-compact-910000,text-state,best_first_width,pretrained_base,0,0,0,0
expanded-final/15puzzle-compact-910000,text-state,best_first_width,random_valid,-1,1,-8,-4
expanded-final/15puzzle-compact-910000,text-state,best_first_width,exact_reference,-1,1,-8,-4
expanded-final/15puzzle-compact-910000,text-state,bfs,pretrained_base,0,0,1,0
expanded-final/15puzzle-compact-910000,text-state,bfs,random_valid,0,1,-31,-18
expanded-final/15puzzle-compact-910000,text-state,bfs,exact_reference,-1,1,-31,-18
expanded-final/15puzzle-compact-910000,visual-state,best_first_add_greedy,pretrained_base,1,-1,11,4
expanded-final/15puzzle-compact-910000,visual-state,best_first_add_greedy,random_valid,0,0,0,0
expanded-final/15puzzle-compact-910000,visual-state,best_first_add_greedy,exact_reference,0,0,0,0
expanded-final/15puzzle-compact-910000,visual-state,best_first_add_w3,pretrained_base,1,-1,11,4
expanded-final/15puzzle-compact-910000,visual-state,best_first_add_w3,random_valid,0,0,0,0
expanded-final/15puzzle-compact-910000,visual-state,best_first_add_w3,exact_reference,0,0,0,0
expanded-final/15puzzle-compact-910000,visual-state,best_first_width,pretrained_base,0,0,0,0
expanded-final/15puzzle-compact-910000,visual-state,best_first_width,random_valid,-1,1,-8,-4
expanded-final/15puzzle-compact-910000,visual-state,best_first_width,exact_reference,-1,1,-8,-4
expanded-final/15puzzle-compact-910000,visual-state,bfs,pretrained_base,0,0,3,1
expanded-final/15puzzle-compact-910000,visual-state,bfs,random_valid,0,1,-29,-17
expanded-final/15puzzle-compact-910000,visual-state,bfs,exact_reference,-1,1,-29,-17
expanded-final/15puzzle-expanded-910109,multimodal-state,best_first_add_greedy,pretrained_base,1,-1,18,6
expanded-final/15puzzle-expanded-910109,multimodal-state,best_first_add_greedy,random_valid,0,0,0,0
expanded-final/15puzzle-expanded-910109,multimodal-state,best_first_add_greedy,exact_reference,0,0,0,0
expanded-final/15puzzle-expanded-910109,multimodal-state,best_first_add_w3,pretrained_base,1,-1,18,6
expanded-final/15puzzle-expanded-910109,multimodal-state,best_first_add_w3,random_valid,0,0,0,0
