modality,algorithm,arm,episodes,successes,success_rate,invalid_operations,decisions,invalid_rate,expansions
multimodal-state,best_first_add_greedy,pretrained_base,24,0,0.0,24,24,1.0,0
multimodal-state,best_first_add_greedy,process_sft,24,21,0.875,3,617,0.004862236628849271,179
multimodal-state,best_first_add_greedy,random_valid,24,24,1.0,0,673,0.0,198
multimodal-state,best_first_add_greedy,exact_reference,24,24,1.0,0,673,0.0,198
multimodal-state,best_first_add_w3,pretrained_base,24,0,0.0,24,24,1.0,0
multimodal-state,best_first_add_w3,process_sft,24,22,0.9166666666666666,2,666,0.003003003003003003,196
multimodal-state,best_first_add_w3,random_valid,24,24,1.0,0,694,0.0,206
multimodal-state,best_first_add_w3,exact_reference,24,24,1.0,0,694,0.0,206
multimodal-state,best_first_width,pretrained_base,24,0,0.0,24,24,1.0,0
multimodal-state,best_first_width,process_sft,24,0,0.0,24,24,1.0,0
multimodal-state,best_first_width,random_valid,24,17,0.7083333333333334,0,922,0.0,537
multimodal-state,best_first_width,exact_reference,24,24,1.0,0,974,0.0,568
multimodal-state,bfs,pretrained_base,24,0,0.0,24,24,1.0,0
multimodal-state,bfs,process_sft,24,0,0.0,24,63,0.38095238095238093,15
multimodal-state,bfs,random_valid,24,15,0.625,0,1905,0.0,1173
multimodal-state,bfs,exact_reference,24,24,1.0,0,1969,0.0,1210
text-state,best_first_add_greedy,pretrained_base,24,0,0.0,24,24,1.0,0
text-state,best_first_add_greedy,process_sft,24,22,0.9166666666666666,2,614,0.003257328990228013,179
text-state,best_first_add_greedy,random_valid,24,24,1.0,0,673,0.0,198
text-state,best_first_add_greedy,exact_reference,24,24,1.0,0,673,0.0,198
text-state,best_first_add_w3,pretrained_base,24,0,0.0,24,24,1.0,0
text-state,best_first_add_w3,process_sft,24,20,0.8333333333333334,4,609,0.006568144499178982,179
text-state,best_first_add_w3,random_valid,24,24,1.0,0,694,0.0,206
text-state,best_first_add_w3,exact_reference,24,24,1.0,0,694,0.0,206
text-state,best_first_width,pretrained_base,24,0,0.0,24,24,1.0,0
text-state,best_first_width,process_sft,24,0,0.0,24,24,1.0,0
text-state,best_first_width,random_valid,24,17,0.7083333333333334,0,922,0.0,537
text-state,best_first_width,exact_reference,24,24,1.0,0,974,0.0,568
text-state,bfs,pretrained_base,24,0,0.0,24,24,1.0,0
text-state,bfs,process_sft,24,0,0.0,24,66,0.36363636363636365,15
text-state,bfs,random_valid,24,15,0.625,0,1905,0.0,1173
text-state,bfs,exact_reference,24,24,1.0,0,1969,0.0,1210
visual-state,best_first_add_greedy,pretrained_base,24,0,0.0,24,24,1.0,0
visual-state,best_first_add_greedy,process_sft,24,22,0.9166666666666666,2,643,0.003110419906687403,189
visual-state,best_first_add_greedy,random_valid,24,24,1.0,0,673,0.0,198
visual-state,best_first_add_greedy,exact_reference,24,24,1.0,0,673,0.0,198
visual-state,best_first_add_w3,pretrained_base,24,0,0.0,24,24,1.0,0
visual-state,best_first_add_w3,process_sft,24,18,0.75,6,499,0.012024048096192385,143
visual-state,best_first_add_w3,random_valid,24,24,1.0,0,694,0.0,206
visual-state,best_first_add_w3,exact_reference,24,24,1.0,0,694,0.0,206
visual-state,best_first_width,pretrained_base,24,0,0.0,24,24,1.0,0
visual-state,best_first_width,process_sft,24,0,0.0,24,24,1.0,0
visual-state,best_first_width,random_valid,24,17,0.7083333333333334,0,922,0.0,537
visual-state,best_first_width,exact_reference,24,24,1.0,0,974,0.0,568
visual-state,bfs,pretrained_base,24,0,0.0,24,24,1.0,0
visual-state,bfs,process_sft,24,0,0.0,24,69,0.34782608695652173,17
visual-state,bfs,random_valid,24,15,0.625,0,1905,0.0,1173
visual-state,bfs,exact_reference,24,24,1.0,0,1969,0.0,1210
