modality,arm,episodes,successes,success_rate
multimodal-state,multimodal-state__staged,27,25,0.9259259259259259
multimodal-state,multimodal-state__shuffled,27,27,1.0
multimodal-state,multimodal-state__mixed_order,27,27,1.0
multimodal-state,multimodal-state__base,27,0,0.0
multimodal-state,multimodal-state__sft_sequential_order_control,27,24,0.8888888888888888
multimodal-state,multimodal-state__random_valid,27,27,1.0
multimodal-state,multimodal-state__exact_reference,27,27,1.0
text-state,text-state__staged,27,24,0.8888888888888888
text-state,text-state__shuffled,27,24,0.8888888888888888
text-state,text-state__mixed_order,27,25,0.9259259259259259
text-state,text-state__base,27,0,0.0
text-state,text-state__sft_sequential_order_control,27,24,0.8888888888888888
text-state,text-state__random_valid,27,27,1.0
text-state,text-state__exact_reference,27,27,1.0
visual-state,visual-state__staged,27,24,0.8888888888888888
visual-state,visual-state__shuffled,27,27,1.0
visual-state,visual-state__mixed_order,27,26,0.9629629629629629
visual-state,visual-state__base,27,0,0.0
visual-state,visual-state__sft_sequential_order_control,27,25,0.9259259259259259
visual-state,visual-state__random_valid,27,27,1.0
visual-state,visual-state__exact_reference,27,27,1.0
