benchmark,cell,source,examples,correct,accuracy,malformed
folio,base,v1,200,120,0.6,0
folio,bfs_multimodal,v1,200,121,0.605,0
folio,bfs_text,v1,200,120,0.6,0
folio,bfs_visual,v1,200,121,0.605,0
folio,astar_greedy_multimodal,v2,200,118,0.59,0
folio,astar_greedy_text,v2,200,118,0.59,0
folio,astar_greedy_visual,v2,200,118,0.59,0
folio,astar_w3_multimodal,v2,200,118,0.59,0
folio,astar_w3_text,v2,200,118,0.59,0
folio,astar_w3_visual,v2,200,115,0.575,0
folio,iw_multimodal,v2,200,129,0.645,0
folio,iw_text,v2,200,132,0.66,0
folio,iw_visual,v2,200,129,0.645,0
gsm8k,base,v1,200,191,0.955,0
gsm8k,bfs_multimodal,v1,200,193,0.965,0
gsm8k,bfs_text,v1,200,190,0.95,0
gsm8k,bfs_visual,v1,200,189,0.945,0
gsm8k,astar_greedy_multimodal,v2,200,190,0.95,0
gsm8k,astar_greedy_text,v2,200,190,0.95,0
gsm8k,astar_greedy_visual,v2,200,191,0.955,0
gsm8k,astar_w3_multimodal,v2,200,189,0.945,0
gsm8k,astar_w3_text,v2,200,190,0.95,0
gsm8k,astar_w3_visual,v2,200,193,0.965,0
gsm8k,iw_multimodal,v2,200,192,0.96,0
gsm8k,iw_text,v2,200,192,0.96,0
gsm8k,iw_visual,v2,200,193,0.965,0
humaneval,base,v1,164,128,0.7804878048780488,2
humaneval,bfs_multimodal,v1,164,128,0.7804878048780488,1
humaneval,bfs_text,v1,164,130,0.7926829268292683,1
humaneval,bfs_visual,v1,164,131,0.7987804878048781,0
humaneval,astar_greedy_multimodal,v2,164,130,0.7926829268292683,2
humaneval,astar_greedy_text,v2,164,131,0.7987804878048781,6
humaneval,astar_greedy_visual,v2,164,133,0.8109756097560976,2
humaneval,astar_w3_multimodal,v2,164,127,0.774390243902439,2
humaneval,astar_w3_text,v2,164,134,0.8170731707317073,5
humaneval,astar_w3_visual,v2,164,131,0.7987804878048781,2
humaneval,iw_multimodal,v2,164,124,0.7560975609756098,2
humaneval,iw_text,v2,164,126,0.7682926829268293,2
humaneval,iw_visual,v2,164,125,0.7621951219512195,1
