benchmark,cell,cell_source,n,base_correct,cell_correct,delta,base_only_correct,cell_only_correct,mcnemar_exact_p,holm_p
folio,astar_greedy_multimodal,v2,200,120,118,-2,6,4,0.75390625,1.0
folio,astar_greedy_text,v2,200,120,118,-2,6,4,0.75390625,1.0
folio,astar_greedy_visual,v2,200,120,118,-2,6,4,0.75390625,1.0
folio,astar_w3_multimodal,v2,200,120,118,-2,5,3,0.7265625,1.0
folio,astar_w3_text,v2,200,120,118,-2,6,4,0.75390625,1.0
folio,astar_w3_visual,v2,200,120,115,-5,8,3,0.2265625,1.0
folio,bfs_multimodal,v1,200,120,121,1,3,4,1.0,1.0
folio,bfs_text,v1,200,120,120,0,2,2,1.0,1.0
folio,bfs_visual,v1,200,120,121,1,3,4,1.0,1.0
folio,iw_multimodal,v2,200,120,129,9,6,15,0.0783538818359375,1.0
folio,iw_text,v2,200,120,132,12,6,18,0.022655844688415527,0.815610408782959
folio,iw_visual,v2,200,120,129,9,6,15,0.0783538818359375,1.0
gsm8k,astar_greedy_multimodal,v2,200,191,190,-1,2,1,1.0,1.0
gsm8k,astar_greedy_text,v2,200,191,190,-1,4,3,1.0,1.0
gsm8k,astar_greedy_visual,v2,200,191,191,0,3,3,1.0,1.0
gsm8k,astar_w3_multimodal,v2,200,191,189,-2,3,1,0.625,1.0
gsm8k,astar_w3_text,v2,200,191,190,-1,4,3,1.0,1.0
gsm8k,astar_w3_visual,v2,200,191,193,2,0,2,0.5,1.0
gsm8k,bfs_multimodal,v1,200,191,193,2,3,5,0.7265625,1.0
gsm8k,bfs_text,v1,200,191,190,-1,5,4,1.0,1.0
gsm8k,bfs_visual,v1,200,191,189,-2,5,3,0.7265625,1.0
gsm8k,iw_multimodal,v2,200,191,192,1,3,4,1.0,1.0
gsm8k,iw_text,v2,200,191,192,1,2,3,1.0,1.0
gsm8k,iw_visual,v2,200,191,193,2,3,5,0.7265625,1.0
humaneval,astar_greedy_multimodal,v2,164,128,130,2,3,5,0.7265625,1.0
humaneval,astar_greedy_text,v2,164,128,131,3,4,7,0.548828125,1.0
humaneval,astar_greedy_visual,v2,164,128,133,5,2,7,0.1796875,1.0
humaneval,astar_w3_multimodal,v2,164,128,127,-1,3,2,1.0,1.0
humaneval,astar_w3_text,v2,164,128,134,6,1,7,0.0703125,1.0
humaneval,astar_w3_visual,v2,164,128,131,3,3,6,0.5078125,1.0
humaneval,bfs_multimodal,v1,164,128,128,0,4,4,1.0,1.0
humaneval,bfs_text,v1,164,128,130,2,4,6,0.75390625,1.0
humaneval,bfs_visual,v1,164,128,131,3,5,8,0.5810546875,1.0
humaneval,iw_multimodal,v2,164,128,124,-4,6,2,0.2890625,1.0
humaneval,iw_text,v2,164,128,126,-2,6,4,0.75390625,1.0
humaneval,iw_visual,v2,164,128,125,-3,5,2,0.453125,1.0
