task_id,algorithm,modality,arm,common_cap,observed_decisions,invalid_operations,expansions,success_observed,terminal_observed,censored_at_common_cap
matched-final/storage-760000,bfs,text-state,pretrained_base,12,1,1,0,False,True,False
matched-final/storage-760000,bfs,text-state,process_sft,12,2,1,0,False,True,False
matched-final/storage-760000,bfs,text-state,random_valid,12,8,0,5,True,True,False
matched-final/storage-760000,bfs,text-state,exact_reference,12,8,0,5,True,True,False
matched-final/storage-760000,best_first_width,text-state,pretrained_base,12,1,1,0,False,True,False
matched-final/storage-760000,best_first_width,text-state,process_sft,12,1,1,0,False,True,False
matched-final/storage-760000,best_first_width,text-state,random_valid,12,6,0,5,True,True,False
matched-final/storage-760000,best_first_width,text-state,exact_reference,12,6,0,5,True,True,False
matched-final/storage-760000,best_first_add_w3,text-state,pretrained_base,12,1,1,0,False,True,False
matched-final/storage-760000,best_first_add_w3,text-state,process_sft,12,10,0,4,True,True,False
matched-final/storage-760000,best_first_add_w3,text-state,random_valid,12,10,0,4,True,True,False
matched-final/storage-760000,best_first_add_w3,text-state,exact_reference,12,10,0,4,True,True,False
matched-final/storage-760000,best_first_add_greedy,text-state,pretrained_base,12,1,1,0,False,True,False
matched-final/storage-760000,best_first_add_greedy,text-state,process_sft,12,10,0,4,True,True,False
matched-final/storage-760000,best_first_add_greedy,text-state,random_valid,12,10,0,4,True,True,False
matched-final/storage-760000,best_first_add_greedy,text-state,exact_reference,12,10,0,4,True,True,False
matched-final/blocksworld-730060,bfs,text-state,pretrained_base,6,1,1,0,False,True,False
matched-final/blocksworld-730060,bfs,text-state,process_sft,6,3,1,1,False,True,False
matched-final/blocksworld-730060,bfs,text-state,random_valid,6,5,0,3,False,True,False
matched-final/blocksworld-730060,bfs,text-state,exact_reference,6,5,0,3,True,True,False
matched-final/blocksworld-730060,best_first_width,text-state,pretrained_base,6,1,1,0,False,True,False
matched-final/blocksworld-730060,best_first_width,text-state,process_sft,6,1,1,0,False,True,False
matched-final/blocksworld-730060,best_first_width,text-state,random_valid,6,4,0,2,False,True,False
matched-final/blocksworld-730060,best_first_width,text-state,exact_reference,6,3,0,2,True,True,False
matched-final/blocksworld-730060,best_first_add_w3,text-state,pretrained_base,6,1,1,0,False,True,False
matched-final/blocksworld-730060,best_first_add_w3,text-state,process_sft,6,4,0,2,True,True,False
matched-final/blocksworld-730060,best_first_add_w3,text-state,random_valid,6,4,0,2,True,True,False
matched-final/blocksworld-730060,best_first_add_w3,text-state,exact_reference,6,4,0,2,True,True,False
matched-final/blocksworld-730060,best_first_add_greedy,text-state,pretrained_base,6,1,1,0,False,True,False
matched-final/blocksworld-730060,best_first_add_greedy,text-state,process_sft,6,4,0,2,True,True,False
matched-final/blocksworld-730060,best_first_add_greedy,text-state,random_valid,6,4,0,2,True,True,False
matched-final/blocksworld-730060,best_first_add_greedy,text-state,exact_reference,6,4,0,2,True,True,False
matched-final/ferry-780004,bfs,text-state,pretrained_base,8,1,1,0,False,True,False
matched-final/ferry-780004,bfs,text-state,process_sft,8,2,1,1,False,True,False
matched-final/ferry-780004,bfs,text-state,random_valid,8,4,0,4,True,True,False
matched-final/ferry-780004,bfs,text-state,exact_reference,8,4,0,4,True,True,False
matched-final/ferry-780004,best_first_width,text-state,pretrained_base,8,1,1,0,False,True,False
matched-final/ferry-780004,best_first_width,text-state,process_sft,8,1,1,0,False,True,False
matched-final/ferry-780004,best_first_width,text-state,random_valid,8,4,0,4,True,True,False
matched-final/ferry-780004,best_first_width,text-state,exact_reference,8,4,0,4,True,True,False
matched-final/ferry-780004,best_first_add_w3,text-state,pretrained_base,8,1,1,0,False,True,False
matched-final/ferry-780004,best_first_add_w3,text-state,process_sft,8,7,0,4,True,True,False
matched-final/ferry-780004,best_first_add_w3,text-state,random_valid,8,7,0,4,True,True,False
matched-final/ferry-780004,best_first_add_w3,text-state,exact_reference,8,7,0,4,True,True,False
matched-final/ferry-780004,best_first_add_greedy,text-state,pretrained_base,8,1,1,0,False,True,False
matched-final/ferry-780004,best_first_add_greedy,text-state,process_sft,8,1,1,0,False,True,False
matched-final/ferry-780004,best_first_add_greedy,text-state,random_valid,8,7,0,4,True,True,False
matched-final/ferry-780004,best_first_add_greedy,text-state,exact_reference,8,7,0,4,True,True,False
matched-final/storage-760000,bfs,visual-state,pretrained_base,12,1,1,0,False,True,False
matched-final/storage-760000,bfs,visual-state,process_sft,12,1,1,0,False,True,False
matched-final/storage-760000,bfs,visual-state,random_valid,12,8,0,5,True,True,False
matched-final/storage-760000,bfs,visual-state,exact_reference,12,8,0,5,True,True,False
matched-final/storage-760000,best_first_width,visual-state,pretrained_base,12,1,1,0,False,True,False
matched-final/storage-760000,best_first_width,visual-state,process_sft,12,1,1,0,False,True,False
matched-final/storage-760000,best_first_width,visual-state,random_valid,12,6,0,5,True,True,False
matched-final/storage-760000,best_first_width,visual-state,exact_reference,12,6,0,5,True,True,False
matched-final/storage-760000,best_first_add_w3,visual-state,pretrained_base,12,1,1,0,False,True,False
matched-final/storage-760000,best_first_add_w3,visual-state,process_sft,12,10,0,4,True,True,False
matched-final/storage-760000,best_first_add_w3,visual-state,random_valid,12,10,0,4,True,True,False
matched-final/storage-760000,best_first_add_w3,visual-state,exact_reference,12,10,0,4,True,True,False
matched-final/storage-760000,best_first_add_greedy,visual-state,pretrained_base,12,1,1,0,False,True,False
matched-final/storage-760000,best_first_add_greedy,visual-state,process_sft,12,10,0,4,True,True,False
matched-final/storage-760000,best_first_add_greedy,visual-state,random_valid,12,10,0,4,True,True,False
matched-final/storage-760000,best_first_add_greedy,visual-state,exact_reference,12,10,0,4,True,True,False
matched-final/blocksworld-730060,bfs,visual-state,pretrained_base,6,1,1,0,False,True,False
matched-final/blocksworld-730060,bfs,visual-state,process_sft,6,3,1,1,False,True,False
matched-final/blocksworld-730060,bfs,visual-state,random_valid,6,5,0,3,False,True,False
matched-final/blocksworld-730060,bfs,visual-state,exact_reference,6,5,0,3,True,True,False
matched-final/blocksworld-730060,best_first_width,visual-state,pretrained_base,6,1,1,0,False,True,False
matched-final/blocksworld-730060,best_first_width,visual-state,process_sft,6,1,1,0,False,True,False
matched-final/blocksworld-730060,best_first_width,visual-state,random_valid,6,4,0,2,False,True,False
matched-final/blocksworld-730060,best_first_width,visual-state,exact_reference,6,3,0,2,True,True,False
matched-final/blocksworld-730060,best_first_add_w3,visual-state,pretrained_base,6,1,1,0,False,True,False
matched-final/blocksworld-730060,best_first_add_w3,visual-state,process_sft,6,2,1,0,False,True,False
matched-final/blocksworld-730060,best_first_add_w3,visual-state,random_valid,6,4,0,2,True,True,False
matched-final/blocksworld-730060,best_first_add_w3,visual-state,exact_reference,6,4,0,2,True,True,False
matched-final/blocksworld-730060,best_first_add_greedy,visual-state,pretrained_base,6,1,1,0,False,True,False
matched-final/blocksworld-730060,best_first_add_greedy,visual-state,process_sft,6,4,0,2,True,True,False
matched-final/blocksworld-730060,best_first_add_greedy,visual-state,random_valid,6,4,0,2,True,True,False
matched-final/blocksworld-730060,best_first_add_greedy,visual-state,exact_reference,6,4,0,2,True,True,False
matched-final/ferry-780004,bfs,visual-state,pretrained_base,8,1,1,0,False,True,False
matched-final/ferry-780004,bfs,visual-state,process_sft,8,4,0,4,True,True,False
matched-final/ferry-780004,bfs,visual-state,random_valid,8,4,0,4,True,True,False
matched-final/ferry-780004,bfs,visual-state,exact_reference,8,4,0,4,True,True,False
matched-final/ferry-780004,best_first_width,visual-state,pretrained_base,8,1,1,0,False,True,False
matched-final/ferry-780004,best_first_width,visual-state,process_sft,8,1,1,0,False,True,False
matched-final/ferry-780004,best_first_width,visual-state,random_valid,8,4,0,4,True,True,False
matched-final/ferry-780004,best_first_width,visual-state,exact_reference,8,4,0,4,True,True,False
matched-final/ferry-780004,best_first_add_w3,visual-state,pretrained_base,8,1,1,0,False,True,False
matched-final/ferry-780004,best_first_add_w3,visual-state,process_sft,8,7,0,4,True,True,False
matched-final/ferry-780004,best_first_add_w3,visual-state,random_valid,8,7,0,4,True,True,False
