task_id,algorithm,modality,control,success_difference,invalid_operation_difference,decision_difference,expansion_difference,both_successful,solution_cost_difference_on_joint_success
matched-final/storage-760000,bfs,text-state,pretrained_base,0,0,1,0,False,
matched-final/storage-760000,bfs,text-state,random_valid,-1,1,-6,-5,False,
matched-final/storage-760000,bfs,text-state,exact_reference,-1,1,-6,-5,False,
matched-final/storage-760000,best_first_width,text-state,pretrained_base,0,0,0,0,False,
matched-final/storage-760000,best_first_width,text-state,random_valid,-1,1,-5,-5,False,
matched-final/storage-760000,best_first_width,text-state,exact_reference,-1,1,-5,-5,False,
matched-final/storage-760000,best_first_add_w3,text-state,pretrained_base,1,-1,9,4,False,
matched-final/storage-760000,best_first_add_w3,text-state,random_valid,0,0,0,0,True,0
matched-final/storage-760000,best_first_add_w3,text-state,exact_reference,0,0,0,0,True,0
matched-final/storage-760000,best_first_add_greedy,text-state,pretrained_base,1,-1,9,4,False,
matched-final/storage-760000,best_first_add_greedy,text-state,random_valid,0,0,0,0,True,0
matched-final/storage-760000,best_first_add_greedy,text-state,exact_reference,0,0,0,0,True,0
matched-final/blocksworld-730060,bfs,text-state,pretrained_base,0,0,2,1,False,
matched-final/blocksworld-730060,bfs,text-state,random_valid,0,1,-2,-2,False,
matched-final/blocksworld-730060,bfs,text-state,exact_reference,-1,1,-2,-2,False,
matched-final/blocksworld-730060,best_first_width,text-state,pretrained_base,0,0,0,0,False,
matched-final/blocksworld-730060,best_first_width,text-state,random_valid,0,1,-3,-2,False,
matched-final/blocksworld-730060,best_first_width,text-state,exact_reference,-1,1,-2,-2,False,
matched-final/blocksworld-730060,best_first_add_w3,text-state,pretrained_base,1,-1,3,2,False,
matched-final/blocksworld-730060,best_first_add_w3,text-state,random_valid,0,0,0,0,True,0
matched-final/blocksworld-730060,best_first_add_w3,text-state,exact_reference,0,0,0,0,True,0
matched-final/blocksworld-730060,best_first_add_greedy,text-state,pretrained_base,1,-1,3,2,False,
matched-final/blocksworld-730060,best_first_add_greedy,text-state,random_valid,0,0,0,0,True,0
matched-final/blocksworld-730060,best_first_add_greedy,text-state,exact_reference,0,0,0,0,True,0
matched-final/ferry-780004,bfs,text-state,pretrained_base,0,0,1,1,False,
matched-final/ferry-780004,bfs,text-state,random_valid,-1,1,-2,-3,False,
matched-final/ferry-780004,bfs,text-state,exact_reference,-1,1,-2,-3,False,
matched-final/ferry-780004,best_first_width,text-state,pretrained_base,0,0,0,0,False,
matched-final/ferry-780004,best_first_width,text-state,random_valid,-1,1,-3,-4,False,
matched-final/ferry-780004,best_first_width,text-state,exact_reference,-1,1,-3,-4,False,
matched-final/ferry-780004,best_first_add_w3,text-state,pretrained_base,1,-1,6,4,False,
matched-final/ferry-780004,best_first_add_w3,text-state,random_valid,0,0,0,0,True,0
matched-final/ferry-780004,best_first_add_w3,text-state,exact_reference,0,0,0,0,True,0
matched-final/ferry-780004,best_first_add_greedy,text-state,pretrained_base,0,0,0,0,False,
matched-final/ferry-780004,best_first_add_greedy,text-state,random_valid,-1,1,-6,-4,False,
matched-final/ferry-780004,best_first_add_greedy,text-state,exact_reference,-1,1,-6,-4,False,
matched-final/storage-760000,bfs,visual-state,pretrained_base,0,0,0,0,False,
matched-final/storage-760000,bfs,visual-state,random_valid,-1,1,-7,-5,False,
matched-final/storage-760000,bfs,visual-state,exact_reference,-1,1,-7,-5,False,
matched-final/storage-760000,best_first_width,visual-state,pretrained_base,0,0,0,0,False,
matched-final/storage-760000,best_first_width,visual-state,random_valid,-1,1,-5,-5,False,
matched-final/storage-760000,best_first_width,visual-state,exact_reference,-1,1,-5,-5,False,
matched-final/storage-760000,best_first_add_w3,visual-state,pretrained_base,1,-1,9,4,False,
matched-final/storage-760000,best_first_add_w3,visual-state,random_valid,0,0,0,0,True,0
matched-final/storage-760000,best_first_add_w3,visual-state,exact_reference,0,0,0,0,True,0
matched-final/storage-760000,best_first_add_greedy,visual-state,pretrained_base,1,-1,9,4,False,
matched-final/storage-760000,best_first_add_greedy,visual-state,random_valid,0,0,0,0,True,0
matched-final/storage-760000,best_first_add_greedy,visual-state,exact_reference,0,0,0,0,True,0
matched-final/blocksworld-730060,bfs,visual-state,pretrained_base,0,0,2,1,False,
matched-final/blocksworld-730060,bfs,visual-state,random_valid,0,1,-2,-2,False,
matched-final/blocksworld-730060,bfs,visual-state,exact_reference,-1,1,-2,-2,False,
matched-final/blocksworld-730060,best_first_width,visual-state,pretrained_base,0,0,0,0,False,
matched-final/blocksworld-730060,best_first_width,visual-state,random_valid,0,1,-3,-2,False,
matched-final/blocksworld-730060,best_first_width,visual-state,exact_reference,-1,1,-2,-2,False,
matched-final/blocksworld-730060,best_first_add_w3,visual-state,pretrained_base,0,0,1,0,False,
matched-final/blocksworld-730060,best_first_add_w3,visual-state,random_valid,-1,1,-2,-2,False,
matched-final/blocksworld-730060,best_first_add_w3,visual-state,exact_reference,-1,1,-2,-2,False,
matched-final/blocksworld-730060,best_first_add_greedy,visual-state,pretrained_base,1,-1,3,2,False,
matched-final/blocksworld-730060,best_first_add_greedy,visual-state,random_valid,0,0,0,0,True,0
matched-final/blocksworld-730060,best_first_add_greedy,visual-state,exact_reference,0,0,0,0,True,0
matched-final/ferry-780004,bfs,visual-state,pretrained_base,1,-1,3,4,False,
matched-final/ferry-780004,bfs,visual-state,random_valid,0,0,0,0,True,0
matched-final/ferry-780004,bfs,visual-state,exact_reference,0,0,0,0,True,0
matched-final/ferry-780004,best_first_width,visual-state,pretrained_base,0,0,0,0,False,
matched-final/ferry-780004,best_first_width,visual-state,random_valid,-1,1,-3,-4,False,
matched-final/ferry-780004,best_first_width,visual-state,exact_reference,-1,1,-3,-4,False,
matched-final/ferry-780004,best_first_add_w3,visual-state,pretrained_base,1,-1,6,4,False,
matched-final/ferry-780004,best_first_add_w3,visual-state,random_valid,0,0,0,0,True,0
matched-final/ferry-780004,best_first_add_w3,visual-state,exact_reference,0,0,0,0,True,0
matched-final/ferry-780004,best_first_add_greedy,visual-state,pretrained_base,1,-1,6,4,False,
matched-final/ferry-780004,best_first_add_greedy,visual-state,random_valid,0,0,0,0,True,0
matched-final/ferry-780004,best_first_add_greedy,visual-state,exact_reference,0,0,0,0,True,0
matched-final/storage-760000,bfs,multimodal-state,pretrained_base,0,0,1,0,False,
matched-final/storage-760000,bfs,multimodal-state,random_valid,-1,1,-6,-5,False,
matched-final/storage-760000,bfs,multimodal-state,exact_reference,-1,1,-6,-5,False,
matched-final/storage-760000,best_first_width,multimodal-state,pretrained_base,0,0,0,0,False,
matched-final/storage-760000,best_first_width,multimodal-state,random_valid,-1,1,-5,-5,False,
matched-final/storage-760000,best_first_width,multimodal-state,exact_reference,-1,1,-5,-5,False,
matched-final/storage-760000,best_first_add_w3,multimodal-state,pretrained_base,1,-1,9,4,False,
matched-final/storage-760000,best_first_add_w3,multimodal-state,random_valid,0,0,0,0,True,0
matched-final/storage-760000,best_first_add_w3,multimodal-state,exact_reference,0,0,0,0,True,0
matched-final/storage-760000,best_first_add_greedy,multimodal-state,pretrained_base,1,-1,9,4,False,
matched-final/storage-760000,best_first_add_greedy,multimodal-state,random_valid,0,0,0,0,True,0
matched-final/storage-760000,best_first_add_greedy,multimodal-state,exact_reference,0,0,0,0,True,0
matched-final/blocksworld-730060,bfs,multimodal-state,pretrained_base,0,0,2,1,False,
matched-final/blocksworld-730060,bfs,multimodal-state,random_valid,0,1,-2,-2,False,
matched-final/blocksworld-730060,bfs,multimodal-state,exact_reference,-1,1,-2,-2,False,
matched-final/blocksworld-730060,best_first_width,multimodal-state,pretrained_base,0,0,0,0,False,
matched-final/blocksworld-730060,best_first_width,multimodal-state,random_valid,0,1,-3,-2,False,
matched-final/blocksworld-730060,best_first_width,multimodal-state,exact_reference,-1,1,-2,-2,False,
matched-final/blocksworld-730060,best_first_add_w3,multimodal-state,pretrained_base,1,-1,3,2,False,
matched-final/blocksworld-730060,best_first_add_w3,multimodal-state,random_valid,0,0,0,0,True,0
matched-final/blocksworld-730060,best_first_add_w3,multimodal-state,exact_reference,0,0,0,0,True,0
matched-final/blocksworld-730060,best_first_add_greedy,multimodal-state,pretrained_base,1,-1,3,2,False,
matched-final/blocksworld-730060,best_first_add_greedy,multimodal-state,random_valid,0,0,0,0,True,0
matched-final/blocksworld-730060,best_first_add_greedy,multimodal-state,exact_reference,0,0,0,0,True,0
matched-final/ferry-780004,bfs,multimodal-state,pretrained_base,0,0,1,1,False,
matched-final/ferry-780004,bfs,multimodal-state,random_valid,-1,1,-2,-3,False,
matched-final/ferry-780004,bfs,multimodal-state,exact_reference,-1,1,-2,-3,False,
matched-final/ferry-780004,best_first_width,multimodal-state,pretrained_base,0,0,0,0,False,
matched-final/ferry-780004,best_first_width,multimodal-state,random_valid,-1,1,-3,-4,False,
matched-final/ferry-780004,best_first_width,multimodal-state,exact_reference,-1,1,-3,-4,False,
matched-final/ferry-780004,best_first_add_w3,multimodal-state,pretrained_base,1,-1,6,4,False,
matched-final/ferry-780004,best_first_add_w3,multimodal-state,random_valid,0,0,0,0,True,0
matched-final/ferry-780004,best_first_add_w3,multimodal-state,exact_reference,0,0,0,0,True,0
matched-final/ferry-780004,best_first_add_greedy,multimodal-state,pretrained_base,1,-1,6,4,False,
matched-final/ferry-780004,best_first_add_greedy,multimodal-state,random_valid,0,0,0,0,True,0
matched-final/ferry-780004,best_first_add_greedy,multimodal-state,exact_reference,0,0,0,0,True,0
