task_id,modality,algorithm,arm,status,episode
matched-final/storage-760000,text-state,bfs,pretrained_base,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/bfs-pretrained_base.json.gz
matched-final/storage-760000,text-state,bfs,process_sft,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/bfs-process_sft.json.gz
matched-final/storage-760000,text-state,bfs,random_valid,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/bfs-random_valid.json.gz
matched-final/storage-760000,text-state,bfs,exact_reference,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/bfs-exact_reference.json.gz
matched-final/storage-760000,text-state,best_first_width,pretrained_base,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/best_first_width-pretrained_base.json.gz
matched-final/storage-760000,text-state,best_first_width,process_sft,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/best_first_width-process_sft.json.gz
matched-final/storage-760000,text-state,best_first_width,random_valid,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/best_first_width-random_valid.json.gz
matched-final/storage-760000,text-state,best_first_width,exact_reference,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/best_first_width-exact_reference.json.gz
matched-final/storage-760000,text-state,best_first_add_w3,pretrained_base,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/best_first_add_w3-pretrained_base.json.gz
matched-final/storage-760000,text-state,best_first_add_w3,process_sft,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/best_first_add_w3-process_sft.json.gz
matched-final/storage-760000,text-state,best_first_add_w3,random_valid,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/best_first_add_w3-random_valid.json.gz
matched-final/storage-760000,text-state,best_first_add_w3,exact_reference,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/best_first_add_w3-exact_reference.json.gz
matched-final/storage-760000,text-state,best_first_add_greedy,pretrained_base,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/best_first_add_greedy-pretrained_base.json.gz
matched-final/storage-760000,text-state,best_first_add_greedy,process_sft,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/best_first_add_greedy-process_sft.json.gz
matched-final/storage-760000,text-state,best_first_add_greedy,random_valid,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/best_first_add_greedy-random_valid.json.gz
matched-final/storage-760000,text-state,best_first_add_greedy,exact_reference,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__storage-760000/best_first_add_greedy-exact_reference.json.gz
matched-final/blocksworld-730060,text-state,bfs,pretrained_base,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/bfs-pretrained_base.json.gz
matched-final/blocksworld-730060,text-state,bfs,process_sft,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/bfs-process_sft.json.gz
matched-final/blocksworld-730060,text-state,bfs,random_valid,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/bfs-random_valid.json.gz
matched-final/blocksworld-730060,text-state,bfs,exact_reference,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/bfs-exact_reference.json.gz
matched-final/blocksworld-730060,text-state,best_first_width,pretrained_base,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/best_first_width-pretrained_base.json.gz
matched-final/blocksworld-730060,text-state,best_first_width,process_sft,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/best_first_width-process_sft.json.gz
matched-final/blocksworld-730060,text-state,best_first_width,random_valid,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/best_first_width-random_valid.json.gz
matched-final/blocksworld-730060,text-state,best_first_width,exact_reference,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/best_first_width-exact_reference.json.gz
matched-final/blocksworld-730060,text-state,best_first_add_w3,pretrained_base,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/best_first_add_w3-pretrained_base.json.gz
matched-final/blocksworld-730060,text-state,best_first_add_w3,process_sft,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/best_first_add_w3-process_sft.json.gz
matched-final/blocksworld-730060,text-state,best_first_add_w3,random_valid,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/best_first_add_w3-random_valid.json.gz
matched-final/blocksworld-730060,text-state,best_first_add_w3,exact_reference,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/best_first_add_w3-exact_reference.json.gz
matched-final/blocksworld-730060,text-state,best_first_add_greedy,pretrained_base,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/best_first_add_greedy-pretrained_base.json.gz
matched-final/blocksworld-730060,text-state,best_first_add_greedy,process_sft,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/best_first_add_greedy-process_sft.json.gz
matched-final/blocksworld-730060,text-state,best_first_add_greedy,random_valid,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/best_first_add_greedy-random_valid.json.gz
matched-final/blocksworld-730060,text-state,best_first_add_greedy,exact_reference,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/best_first_add_greedy-exact_reference.json.gz
matched-final/ferry-780004,text-state,bfs,pretrained_base,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/bfs-pretrained_base.json.gz
matched-final/ferry-780004,text-state,bfs,process_sft,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/bfs-process_sft.json.gz
matched-final/ferry-780004,text-state,bfs,random_valid,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/bfs-random_valid.json.gz
matched-final/ferry-780004,text-state,bfs,exact_reference,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/bfs-exact_reference.json.gz
matched-final/ferry-780004,text-state,best_first_width,pretrained_base,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/best_first_width-pretrained_base.json.gz
matched-final/ferry-780004,text-state,best_first_width,process_sft,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/best_first_width-process_sft.json.gz
matched-final/ferry-780004,text-state,best_first_width,random_valid,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/best_first_width-random_valid.json.gz
matched-final/ferry-780004,text-state,best_first_width,exact_reference,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/best_first_width-exact_reference.json.gz
matched-final/ferry-780004,text-state,best_first_add_w3,pretrained_base,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/best_first_add_w3-pretrained_base.json.gz
matched-final/ferry-780004,text-state,best_first_add_w3,process_sft,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/best_first_add_w3-process_sft.json.gz
matched-final/ferry-780004,text-state,best_first_add_w3,random_valid,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/best_first_add_w3-random_valid.json.gz
matched-final/ferry-780004,text-state,best_first_add_w3,exact_reference,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/best_first_add_w3-exact_reference.json.gz
matched-final/ferry-780004,text-state,best_first_add_greedy,pretrained_base,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/best_first_add_greedy-pretrained_base.json.gz
matched-final/ferry-780004,text-state,best_first_add_greedy,process_sft,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/best_first_add_greedy-process_sft.json.gz
matched-final/ferry-780004,text-state,best_first_add_greedy,random_valid,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/best_first_add_greedy-random_valid.json.gz
matched-final/ferry-780004,text-state,best_first_add_greedy,exact_reference,complete,outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/best_first_add_greedy-exact_reference.json.gz
matched-final/storage-760000,visual-state,bfs,pretrained_base,complete,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/bfs-pretrained_base.json.gz
matched-final/storage-760000,visual-state,bfs,process_sft,complete,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/bfs-process_sft.json.gz
matched-final/storage-760000,visual-state,bfs,random_valid,complete,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/bfs-random_valid.json.gz
matched-final/storage-760000,visual-state,bfs,exact_reference,complete,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/bfs-exact_reference.json.gz
matched-final/storage-760000,visual-state,best_first_width,pretrained_base,complete,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/best_first_width-pretrained_base.json.gz
matched-final/storage-760000,visual-state,best_first_width,process_sft,complete,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/best_first_width-process_sft.json.gz
matched-final/storage-760000,visual-state,best_first_width,random_valid,complete,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/best_first_width-random_valid.json.gz
matched-final/storage-760000,visual-state,best_first_width,exact_reference,complete,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/best_first_width-exact_reference.json.gz
matched-final/storage-760000,visual-state,best_first_add_w3,pretrained_base,complete,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/best_first_add_w3-pretrained_base.json.gz
matched-final/storage-760000,visual-state,best_first_add_w3,process_sft,complete,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/best_first_add_w3-process_sft.json.gz
matched-final/storage-760000,visual-state,best_first_add_w3,random_valid,complete,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/best_first_add_w3-random_valid.json.gz
matched-final/storage-760000,visual-state,best_first_add_w3,exact_reference,complete,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/best_first_add_w3-exact_reference.json.gz
matched-final/storage-760000,visual-state,best_first_add_greedy,pretrained_base,complete,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/best_first_add_greedy-pretrained_base.json.gz
matched-final/storage-760000,visual-state,best_first_add_greedy,process_sft,complete,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/best_first_add_greedy-process_sft.json.gz
matched-final/storage-760000,visual-state,best_first_add_greedy,random_valid,complete,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/best_first_add_greedy-random_valid.json.gz
matched-final/storage-760000,visual-state,best_first_add_greedy,exact_reference,complete,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/best_first_add_greedy-exact_reference.json.gz
matched-final/blocksworld-730060,visual-state,bfs,pretrained_base,complete,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/bfs-pretrained_base.json.gz
matched-final/blocksworld-730060,visual-state,bfs,process_sft,complete,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/bfs-process_sft.json.gz
matched-final/blocksworld-730060,visual-state,bfs,random_valid,complete,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/bfs-random_valid.json.gz
matched-final/blocksworld-730060,visual-state,bfs,exact_reference,complete,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/bfs-exact_reference.json.gz
matched-final/blocksworld-730060,visual-state,best_first_width,pretrained_base,complete,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/best_first_width-pretrained_base.json.gz
matched-final/blocksworld-730060,visual-state,best_first_width,process_sft,complete,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/best_first_width-process_sft.json.gz
matched-final/blocksworld-730060,visual-state,best_first_width,random_valid,complete,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/best_first_width-random_valid.json.gz
matched-final/blocksworld-730060,visual-state,best_first_width,exact_reference,complete,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/best_first_width-exact_reference.json.gz
matched-final/blocksworld-730060,visual-state,best_first_add_w3,pretrained_base,complete,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/best_first_add_w3-pretrained_base.json.gz
matched-final/blocksworld-730060,visual-state,best_first_add_w3,process_sft,complete,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/best_first_add_w3-process_sft.json.gz
matched-final/blocksworld-730060,visual-state,best_first_add_w3,random_valid,complete,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/best_first_add_w3-random_valid.json.gz
matched-final/blocksworld-730060,visual-state,best_first_add_w3,exact_reference,complete,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/best_first_add_w3-exact_reference.json.gz
matched-final/blocksworld-730060,visual-state,best_first_add_greedy,pretrained_base,complete,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/best_first_add_greedy-pretrained_base.json.gz
matched-final/blocksworld-730060,visual-state,best_first_add_greedy,process_sft,complete,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/best_first_add_greedy-process_sft.json.gz
matched-final/blocksworld-730060,visual-state,best_first_add_greedy,random_valid,complete,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/best_first_add_greedy-random_valid.json.gz
matched-final/blocksworld-730060,visual-state,best_first_add_greedy,exact_reference,complete,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/best_first_add_greedy-exact_reference.json.gz
