algorithm,arm,metric,left,right,complete_paired_coverage,difference,lower,upper,whole_problems
bfs,pretrained_base,success,text-state,visual-state,True,0.0,0.0,0.0,3
bfs,pretrained_base,all_operations_valid,text-state,visual-state,True,0.0,0.0,0.0,3
bfs,pretrained_base,decisions,text-state,visual-state,True,0.0,0.0,0.0,3
bfs,pretrained_base,expansions,text-state,visual-state,True,0.0,0.0,0.0,3
bfs,pretrained_base,success,text-state,multimodal-state,True,0.0,0.0,0.0,3
bfs,pretrained_base,all_operations_valid,text-state,multimodal-state,True,0.0,0.0,0.0,3
bfs,pretrained_base,decisions,text-state,multimodal-state,True,0.0,0.0,0.0,3
bfs,pretrained_base,expansions,text-state,multimodal-state,True,0.0,0.0,0.0,3
bfs,pretrained_base,success,visual-state,multimodal-state,True,0.0,0.0,0.0,3
bfs,pretrained_base,all_operations_valid,visual-state,multimodal-state,True,0.0,0.0,0.0,3
bfs,pretrained_base,decisions,visual-state,multimodal-state,True,0.0,0.0,0.0,3
bfs,pretrained_base,expansions,visual-state,multimodal-state,True,0.0,0.0,0.0,3
bfs,process_sft,success,text-state,visual-state,True,-0.3333333333333333,-1.0,0.0,3
bfs,process_sft,all_operations_valid,text-state,visual-state,True,-0.3333333333333333,-1.0,0.0,3
bfs,process_sft,decisions,text-state,visual-state,True,-0.3333333333333333,-2.0,1.0,3
bfs,process_sft,expansions,text-state,visual-state,True,-1.0,-3.0,0.0,3
bfs,process_sft,success,text-state,multimodal-state,True,0.0,0.0,0.0,3
bfs,process_sft,all_operations_valid,text-state,multimodal-state,True,0.0,0.0,0.0,3
bfs,process_sft,decisions,text-state,multimodal-state,True,0.0,0.0,0.0,3
bfs,process_sft,expansions,text-state,multimodal-state,True,0.0,0.0,0.0,3
bfs,process_sft,success,visual-state,multimodal-state,True,0.3333333333333333,0.0,1.0,3
bfs,process_sft,all_operations_valid,visual-state,multimodal-state,True,0.3333333333333333,0.0,1.0,3
bfs,process_sft,decisions,visual-state,multimodal-state,True,0.3333333333333333,-1.0,2.0,3
bfs,process_sft,expansions,visual-state,multimodal-state,True,1.0,0.0,3.0,3
bfs,random_valid,success,text-state,visual-state,True,0.0,0.0,0.0,3
bfs,random_valid,all_operations_valid,text-state,visual-state,True,0.0,0.0,0.0,3
bfs,random_valid,decisions,text-state,visual-state,True,0.0,0.0,0.0,3
bfs,random_valid,expansions,text-state,visual-state,True,0.0,0.0,0.0,3
bfs,random_valid,success,text-state,multimodal-state,True,0.0,0.0,0.0,3
bfs,random_valid,all_operations_valid,text-state,multimodal-state,True,0.0,0.0,0.0,3
bfs,random_valid,decisions,text-state,multimodal-state,True,0.0,0.0,0.0,3
bfs,random_valid,expansions,text-state,multimodal-state,True,0.0,0.0,0.0,3
bfs,random_valid,success,visual-state,multimodal-state,True,0.0,0.0,0.0,3
bfs,random_valid,all_operations_valid,visual-state,multimodal-state,True,0.0,0.0,0.0,3
bfs,random_valid,decisions,visual-state,multimodal-state,True,0.0,0.0,0.0,3
bfs,random_valid,expansions,visual-state,multimodal-state,True,0.0,0.0,0.0,3
bfs,exact_reference,success,text-state,visual-state,True,0.0,0.0,0.0,3
bfs,exact_reference,all_operations_valid,text-state,visual-state,True,0.0,0.0,0.0,3
bfs,exact_reference,decisions,text-state,visual-state,True,0.0,0.0,0.0,3
bfs,exact_reference,expansions,text-state,visual-state,True,0.0,0.0,0.0,3
bfs,exact_reference,success,text-state,multimodal-state,True,0.0,0.0,0.0,3
bfs,exact_reference,all_operations_valid,text-state,multimodal-state,True,0.0,0.0,0.0,3
bfs,exact_reference,decisions,text-state,multimodal-state,True,0.0,0.0,0.0,3
bfs,exact_reference,expansions,text-state,multimodal-state,True,0.0,0.0,0.0,3
bfs,exact_reference,success,visual-state,multimodal-state,True,0.0,0.0,0.0,3
bfs,exact_reference,all_operations_valid,visual-state,multimodal-state,True,0.0,0.0,0.0,3
bfs,exact_reference,decisions,visual-state,multimodal-state,True,0.0,0.0,0.0,3
bfs,exact_reference,expansions,visual-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_width,pretrained_base,success,text-state,visual-state,True,0.0,0.0,0.0,3
best_first_width,pretrained_base,all_operations_valid,text-state,visual-state,True,0.0,0.0,0.0,3
best_first_width,pretrained_base,decisions,text-state,visual-state,True,0.0,0.0,0.0,3
best_first_width,pretrained_base,expansions,text-state,visual-state,True,0.0,0.0,0.0,3
best_first_width,pretrained_base,success,text-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_width,pretrained_base,all_operations_valid,text-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_width,pretrained_base,decisions,text-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_width,pretrained_base,expansions,text-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_width,pretrained_base,success,visual-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_width,pretrained_base,all_operations_valid,visual-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_width,pretrained_base,decisions,visual-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_width,pretrained_base,expansions,visual-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_width,process_sft,success,text-state,visual-state,True,0.0,0.0,0.0,3
best_first_width,process_sft,all_operations_valid,text-state,visual-state,True,0.0,0.0,0.0,3
best_first_width,process_sft,decisions,text-state,visual-state,True,0.0,0.0,0.0,3
best_first_width,process_sft,expansions,text-state,visual-state,True,0.0,0.0,0.0,3
best_first_width,process_sft,success,text-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_width,process_sft,all_operations_valid,text-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_width,process_sft,decisions,text-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_width,process_sft,expansions,text-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_width,process_sft,success,visual-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_width,process_sft,all_operations_valid,visual-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_width,process_sft,decisions,visual-state,multimodal-state,True,0.0,0.0,0.0,3
best_first_width,process_sft,expansions,visual-state,multimodal-state,True,0.0,0.0,0.0,3
